Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,13600.0,0,0,183.53,1.35,183.53,183.53,0,17000,3216.47,13783.53,Technical issue
2025-02-12,13783.53,0,0,306.95,2.23,490.48,306.95,1,17000,2909.52,14090.48,
2025-02-13,14090.48,49.47,0,350.41,2.49,840.89,350.41,1,17000,2509.64,14490.36,Market volatility
2025-02-14,14490.36,0,0,355.59,2.45,1196.48,355.59,2,17000,2154.05,14845.95,Technical issue
2025-02-15,14845.95,0,0,180.82,1.22,1377.3,180.82,3,17000,1973.23,15026.77,
2025-02-16,15026.77,0,0,231.48,1.54,1608.78,231.48,4,17000,1741.75,15258.25,Technical issue
2025-02-17,15258.25,0,0,335.39,2.2,1944.17,335.39,5,17000,1406.36,15593.64,News impact
2025-02-18,15593.64,467.12,116.93,-108.02,-0.69,1836.15,0,6,17000,1164.19,15835.81,Technical issue
2025-02-19,15835.81,0,0,325.99,2.06,2162.14,325.99,7,17000,838.2,16161.8,Followed strategy
2025-02-20,16161.8,0,0,354.96,2.2,2517.1,354.96,8,17000,483.24,16516.76,
2025-02-21,16516.76,0,0,248.53,1.5,2765.63,248.53,9,17000,234.71,16765.29,Followed strategy
2025-02-22,16765.29,0,0,312.78,1.87,3078.41,312.78,10,17000,-78.07,17078.07,Market volatility
2025-02-23,17078.07,80.58,0,385.02,2.25,3463.43,385.02,11,17000,-543.67,17543.67,Deviated from plan
2025-02-24,17543.67,248.19,0,362.85,2.07,3826.28,362.85,12,17000,-1154.71,18154.71,Deviated from plan
2025-02-25,18154.71,0,0,332.85,1.83,4159.13,332.85,13,17000,-1487.56,18487.56,News impact
2025-02-26,18487.56,0,0,-1.64,-0.01,4157.49,0,14,17000,-1485.92,18485.92,News impact
2025-02-27,18485.92,0,0,-180.42,-0.98,3977.07,0,15,17000,-1305.5,18305.5,
2025-02-28,18305.5,0,236.34,-135.6,-0.74,3841.47,0,16,17000,-933.56,17933.56,News impact
2025-03-01,17933.56,0,0,319.55,1.78,4161.02,319.55,17,17000,-1253.11,18253.11,Technical issue
2025-03-02,18253.11,0,0,-72.05,-0.39,4088.97,0,18,17000,-1181.06,18181.06,Deviated from plan
2025-03-03,18181.06,0,0,170.94,0.94,4259.91,170.94,19,17000,-1352.0,18352.0,Followed strategy
2025-03-04,18352.0,0,0,-115.92,-0.63,4143.99,0,20,17000,-1236.08,18236.08,Market volatility
2025-03-05,18236.08,0,77.95,167.47,0.92,4311.46,167.47,21,17000,-1325.6,18325.6,Market volatility
2025-03-06,18325.6,0,0,389.83,2.13,4701.29,389.83,22,17000,-1715.43,18715.43,Followed strategy
2025-03-07,18715.43,105.0,0,352.6,1.88,5053.89,352.6,23,17000,-2173.03,19173.03,Followed strategy
2025-03-08,19173.03,0,211.38,-14.08,-0.07,5039.81,0,24,17000,-1947.57,18947.57,Technical issue
2025-03-09,18947.57,0,0,-45.45,-0.24,4994.36,0,25,17000,-1902.12,18902.12,News impact
2025-03-10,18902.12,0,0,-173.79,-0.92,4820.57,0,26,17000,-1728.33,18728.33,Followed strategy
2025-03-11,18728.33,0,0,-60.88,-0.33,4759.69,0,27,17000,-1667.45,18667.45,News impact
2025-03-12,18667.45,242.95,0,391.45,2.1,5151.14,391.45,1,17000,-2301.85,19301.85,Deviated from plan
