Account Name,Current Balance,Goal Balance,Diff from Goal,Days Since Payout,Max Profit Per Day,Highest Profit Day,Highest Profit Amount,Last Updated
Account 1,11791.49,10000,-1791.49,20,100.0,2025-02-11,384.47,2025-03-12
Account 2,13057.33,11000,-2057.33,21,110.0,2025-03-11,399.98,2025-03-12
Account 3,12931.17,12000,-931.17,4,120.0,2025-02-24,377.2,2025-03-12
Account 4,13584.58,13000,-584.58,6,130.0,2025-02-18,347.04,2025-03-12
Account 5,15435.11,14000,-1435.11,12,140.0,2025-02-23,391.03,2025-03-12
Account 6,16626.99,15000,-1626.99,19,150.0,2025-02-27,379.76,2025-03-12
Account 7,16561.96,16000,-561.96,16,160.0,2025-03-04,380.96,2025-03-12
Account 8,19301.85,17000,-2301.85,1,170.0,2025-03-12,391.45,2025-03-12
Account 9,16605.43,18000,1394.57,29,180.0,2025-03-10,356.89,2025-03-12
Account 10,19006.88,19000,-6.88,17,190.0,2025-02-24,396.93,2025-03-12
Account 11,22249.91,20000,-2249.91,6,200.0,2025-03-10,398.85,2025-03-12
Account 12,21285.94,21000,-285.94,9,210.0,2025-02-25,366.98,2025-03-12
Account 13,19079.67,22000,2920.33,6,220.0,2025-02-11,366.54,2025-03-12
Account 14,23969.62,23000,-969.62,10,230.0,2025-03-05,382.55,2025-03-12
Account 15,24506.76,24000,-506.76,7,240.0,2025-02-15,399.09,2025-03-12
Account 16,24966.16,25000,33.84,29,250.0,2025-03-02,370.37,2025-03-12
Account 17,26685.57,26000,-685.57,29,260.0,2025-02-12,385.0,2025-03-12
Account 18,25547.98,27000,1452.02,29,270.0,2025-03-08,392.84,2025-03-12
Account 19,26018.92,28000,1981.08,15,280.0,2025-02-21,352.79,2025-03-12
Account 20,28563.45,29000,436.55,6,290.0,2025-03-10,388.53,2025-03-12
